t2_id,study_accession,files
HRA000021::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files,HRA000021,BAM-files
HRA000021::/hpcdisk1/cbb_group/data/analysis/HRA000021/SomaticIndel-VCF-files,HRA000021,SomaticIndel-VCF-files
HRA000021::/hpcdisk1/cbb_group/data/analysis/HRA000021/SomaticSNV-VCF-files,HRA000021,SomaticSNV-VCF-files
HRA000021::/hpcdisk1/cbb_group/data/analysis/HRA000021/SomaticSV-VCF-files,HRA000021,SomaticSV-VCF-files
HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/BAM-files,HRA000071,BAM-files
HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/HRA000071-SomaticCNV-1.0.tsv,HRA000071,HRA000071-SomaticCNV-1.0.tsv
HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/HRA000071-SomaticSNV-1.0.maf,HRA000071,HRA000071-SomaticSNV-1.0.maf
HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/SomaticIndel-VCF-files,HRA000071,SomaticIndel-VCF-files
HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/SomaticSNV-VCF-files,HRA000071,SomaticSNV-VCF-files
HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/SomaticSV-VCF-files,HRA000071,SomaticSV-VCF-files
HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/BAM,HRA000074,BAM
HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/Fusion,HRA000074,Fusion
HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/HRA000074-Genes-counts-1.0.tsv,HRA000074,HRA000074-Genes-counts-1.0.tsv
HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/HRA000074-Genes-FPKM-1.0.tsv,HRA000074,HRA000074-Genes-FPKM-1.0.tsv
HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/HRA000074-Genes-TPM-1.0.tsv,HRA000074,HRA000074-Genes-TPM-1.0.tsv
HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/SpliceJunction,HRA000074,SpliceJunction
HRA000321::/hpcdisk1/cbb_group/data/scRNAseq/HRA000321/Matrix-h5,HRA000321,Matrix-h5
HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files,HRA000873,BAM-files
HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/HRA000873-SomaticSNV-1.0.full.maf,HRA000873,HRA000873-SomaticSNV-1.0.full.maf
HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/HRA000873-SomaticSNV-1.0.maf,HRA000873,HRA000873-SomaticSNV-1.0.maf
HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/maf,HRA000873,maf
HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/mutect2,HRA000873,mutect2
HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files,HRA000873,SomaticIndel-VCF-files
HRA000873::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticSNV-VCF-files,HRA000873,SomaticSNV-VCF-files
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/BAM,HRA001272,BAM
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/BAM,HRA001272,BAM
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/Fusion,HRA001272,Fusion
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/HRA001272-Genes-counts-1.0.tsv,HRA001272,HRA001272-Genes-counts-1.0.tsv
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/HRA001272-Genes-FPKM-1.0.tsv,HRA001272,HRA001272-Genes-FPKM-1.0.tsv
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/HRA001272-Genes-TPM-1.0.tsv,HRA001272,HRA001272-Genes-TPM-1.0.tsv
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/HRA001272-SomaticCNV-1.0.tsv,HRA001272,HRA001272-SomaticCNV-1.0.tsv
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/HRA001272-SomaticSNV-1.0.maf,HRA001272,HRA001272-SomaticSNV-1.0.maf
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/maf,HRA001272,maf
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/mutect2,HRA001272,mutect2
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/SomaticIndel-VCF-files,HRA001272,SomaticIndel-VCF-files
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/SomaticSNV-VCF-files,HRA001272,SomaticSNV-VCF-files
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/SomaticSV-VCF-files,HRA001272,SomaticSV-VCF-files
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/RNAseq/SpliceJunction,HRA001272,SpliceJunction
HRA001748::/hpcdisk1/cbb_group/data/scRNAseq/HRA001748/Matrix-h5,HRA001748,Matrix-h5
HRA001749::/hpcdisk1/cbb_group/data/analysis/HRA001749/BAM-files,HRA001749,BAM-files
HRA001749::/hpcdisk1/cbb_group/data/analysis/HRA001749/HRA001749-SomaticCNV-1.0.tsv,HRA001749,HRA001749-SomaticCNV-1.0.tsv
HRA001749::/hpcdisk1/cbb_group/data/analysis/HRA001749/HRA001749-SomaticSNV-1.0.maf,HRA001749,HRA001749-SomaticSNV-1.0.maf
HRA001749::/hpcdisk1/cbb_group/data/analysis/HRA001749/maf,HRA001749,maf
HRA001749::/hpcdisk1/cbb_group/data/analysis/HRA001749/mutect2,HRA001749,mutect2
HRA001749::/hpcdisk1/cbb_group/data/analysis/HRA001749/SomaticIndel-VCF-files,HRA001749,SomaticIndel-VCF-files
HRA001749::/hpcdisk1/cbb_group/data/analysis/HRA001749/SomaticSNV-VCF-files,HRA001749,SomaticSNV-VCF-files
HRA001749::/hpcdisk1/cbb_group/data/analysis/HRA001749/SomaticSV-VCF-files,HRA001749,SomaticSV-VCF-files
HRA003107::/hpcdisk1/cbb_group/data/analysis/HRA003107/BAM,HRA003107,BAM
HRA003107::/hpcdisk1/cbb_group/data/analysis/HRA003107/Fusion,HRA003107,Fusion
HRA003107::/hpcdisk1/cbb_group/data/analysis/HRA003107/HRA003107-Genes-counts-1.0.tsv,HRA003107,HRA003107-Genes-counts-1.0.tsv
HRA003107::/hpcdisk1/cbb_group/data/analysis/HRA003107/HRA003107-Genes-FPKM-1.0.tsv,HRA003107,HRA003107-Genes-FPKM-1.0.tsv
HRA003107::/hpcdisk1/cbb_group/data/analysis/HRA003107/HRA003107-Genes-TPM-1.0.tsv,HRA003107,HRA003107-Genes-TPM-1.0.tsv
HRA003107::/hpcdisk1/cbb_group/data/analysis/HRA003107/SpliceJunction,HRA003107,SpliceJunction
HRA005191::/hpcdisk1/cbb_group/data/scRNAseq/HRA005191/Matrix-h5,HRA005191,Matrix-h5
HRA006499::/hpcdisk1/cbb_group/data/analysis/HRA006499/BAM-files,HRA006499,BAM-files
HRA006499::/hpcdisk1/cbb_group/data/analysis/HRA006499/BAM-files-unmerge,HRA006499,BAM-files-unmerge
HRA006499::/hpcdisk1/cbb_group/data/analysis/HRA006499/maf,HRA006499,maf
HRA006499::/hpcdisk1/cbb_group/data/analysis/HRA006499/mutect2,HRA006499,mutect2
HRA006499::/hpcdisk1/cbb_group/data/analysis/HRA006499/SomaticIndel-VCF-files,HRA006499,SomaticIndel-VCF-files
HRA006499::/hpcdisk1/cbb_group/data/analysis/HRA006499/SomaticSNV-VCF-files,HRA006499,SomaticSNV-VCF-files
HRA006499::/hpcdisk1/cbb_group/data/analysis/HRA006499/SomaticSV-VCF-files,HRA006499,SomaticSV-VCF-files
HRA007167::/hpcdisk1/cbb_group/data/analysis/HRA007167/BAM,HRA007167,BAM
HRA007167::/hpcdisk1/cbb_group/data/analysis/HRA007167/Fusion,HRA007167,Fusion
HRA007167::/hpcdisk1/cbb_group/data/analysis/HRA007167/HRA007167-Genes-counts-1.0.tsv,HRA007167,HRA007167-Genes-counts-1.0.tsv
HRA007167::/hpcdisk1/cbb_group/data/analysis/HRA007167/HRA007167-Genes-FPKM-1.0.tsv,HRA007167,HRA007167-Genes-FPKM-1.0.tsv
HRA007167::/hpcdisk1/cbb_group/data/analysis/HRA007167/HRA007167-Genes-TPM-1.0.tsv,HRA007167,HRA007167-Genes-TPM-1.0.tsv
HRA007167::/hpcdisk1/cbb_group/data/analysis/HRA007167/SpliceJunction,HRA007167,SpliceJunction
HRA007169::/hpcdisk1/cbb_group/data/analysis/HRA007169/BAM-files,HRA007169,BAM-files
HRA007169::/hpcdisk1/cbb_group/data/analysis/HRA007169/HRA007169-SomaticCNV-1.0.tsv,HRA007169,HRA007169-SomaticCNV-1.0.tsv
HRA007169::/hpcdisk1/cbb_group/data/analysis/HRA007169/HRA007169-SomaticSNV-1.0.maf,HRA007169,HRA007169-SomaticSNV-1.0.maf
HRA007169::/hpcdisk1/cbb_group/data/analysis/HRA007169/maf,HRA007169,maf
HRA007169::/hpcdisk1/cbb_group/data/analysis/HRA007169/mutect2,HRA007169,mutect2
HRA007169::/hpcdisk1/cbb_group/data/analysis/HRA007169/SomaticIndel-VCF-files,HRA007169,SomaticIndel-VCF-files
HRA007169::/hpcdisk1/cbb_group/data/analysis/HRA007169/SomaticSNV-VCF-files,HRA007169,SomaticSNV-VCF-files
HRA007169::/hpcdisk1/cbb_group/data/analysis/HRA007169/SomaticSV-VCF-files,HRA007169,SomaticSV-VCF-files
HRA000321::/hpcdisk1/cbb_group/data/scRNAseq/HRA000321/HRA000321-MetaInfo-1.0.xlsx,HRA000321,HRA000321-MetaInfo-1.0.xlsx
HRA001748::/hpcdisk1/cbb_group/data/scRNAseq/HRA001748/HRA001748-MetaInfo-1.0.xlsx,HRA001748,HRA001748-MetaInfo-1.0.xlsx
HRA005191::/hpcdisk1/cbb_group/data/scRNAseq/HRA005191/HRA005191-MetaInfo-1.0.xlsx,HRA005191,HRA005191-MetaInfo-1.0.xlsx
HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/HRA000071-Clinical-1.0.xlsx,HRA000071,HRA000071-Clinical-1.0.xlsx
HRA000071::/hpcdisk1/cbb_group/data/analysis/HRA000071/HRA000071-MetaInfo-1.0.xlsx,HRA000071,HRA000071-MetaInfo-1.0.xlsx
HRA000074::/hpcdisk1/cbb_group/data/analysis/HRA000074/HRA000074-MetaInfo-1.0.xlsx,HRA000074,HRA000074-MetaInfo-1.0.xlsx
HRA001749::/hpcdisk1/cbb_group/data/analysis/HRA001749/HRA001749-MetaInfo-1.0.xlsx,HRA001749,HRA001749-MetaInfo-1.0.xlsx
HRA003107::/hpcdisk1/cbb_group/data/analysis/HRA003107/HRA003107-MetaInfo-1.0.xlsx,HRA003107,HRA003107-MetaInfo-1.0.xlsx
HRA006499::/hpcdisk1/cbb_group/data/analysis/HRA006499/HRA006499-MetaInfo-1.0.xlsx,HRA006499,HRA006499-MetaInfo-1.0.xlsx
HRA007167::/hpcdisk1/cbb_group/data/analysis/HRA007167/HRA007167-MetaInfo-1.0.xlsx,HRA007167,HRA007167-MetaInfo-1.0.xlsx
HRA001272::/hpcdisk1/cbb_group/data/analysis/HRA001272/HRA001272-Clinical-1.0.xls,HRA001272,HRA001272-Clinical-1.0.xls
